candidate,total_return,annualized_return,sharpe,sortino,max_drawdown,calmar,exposure,trade_count,execution_count,rebalance_count,win_rate,average_trade_return,median_trade_return,profit_factor,average_holding_days,turnover,capital_efficiency,equal_weight_baseline_return,topology,market,coverage,nominal_coverage,realized_coverage,reliability_threshold,useful_alpha_threshold,mean_seed_vote_fraction,mean_seed_rank_std,mean_neighbor_overlap,reliability_row_count,reliability_useful_trade_rate,reliability_brier,reliability_brier_skill,reliability_confidence_brier,reliability_log_loss,reliability_roc_auc,reliability_average_precision,reliability_expected_calibration_error,reliability_reliability_alpha_spearman,reliability_reliability_negative_error_spearman,reliability_top_quartile_realized_alpha,reliability_bottom_quartile_realized_alpha,reliability_top_bottom_alpha_spread,reliability_direction_accuracy,reliability_interval_coverage,reliability_mean_prediction_error,reliability_mean_predicted_error,reliability_mean_shift_score
regional_regional__coverage_025,0.4018718338896432,0.4236542862452919,1.60360735937694,3.207444393578452,-0.1450877680946766,2.919986238735422,0.9287582262117531,46,46,0,0.6086956521739131,0.02460413335158201,0.016759303828226768,2.1245612556616518,14.804347826086957,17.589797580828165,0.43269800745540643,0.17879546020138726,regional_regional,China,coverage_025,0.25,0.9031221303948577,0.43320610687022904,0.004,0.4705387205387206,0.16031107616302312,0.082336324635945,4356.0,0.4671717171717172,0.37551926125215823,-0.5085227899541593,0.2777143230853835,3.309868516275003,0.4567277512128869,0.44639545902825534,0.3183042103372454,-0.08179710775657552,0.10287108342810808,0.002391808798928144,0.05188909833000062,-0.04949728953107248,0.5264003673094583,0.1522038567493113,0.13477341474373478,0.07357235585212255,1.2301409177409641
regional_regional__coverage_025,-0.29457891065657604,-0.29654547636984774,-1.8124573141053617,-2.0454366945784175,-0.29582992748965287,-1.002418784624892,0.5604061265099654,43,43,0,0.4186046511627907,-0.023284178674131954,-0.008355645851491067,0.35541958029964,9.906976744186046,12.850826346856426,-0.5256525521787595,-0.14046837511912347,regional_regional,Brazil,coverage_025,0.25,0.6329349269588314,0.4560085836909871,0.003,0.2351482957060646,0.13180230740661883,0.04097805000510203,3765.0,0.4547144754316069,0.29381349796861306,-0.184776385609023,0.2652376623191753,1.1281655812508313,0.4681232103919043,0.4401037287485269,0.2287457634098969,-0.09790813958887175,-0.021522555210135994,-0.004555901603549312,0.022656705705894762,-0.027212607309444074,0.5054448871181939,0.1248339973439575,0.13466408962504034,0.09470855277962965,0.8481489029974915
regional_regional__coverage_025,-0.24401132323450303,-0.2415193206724474,-0.9541963677268211,-1.3498535382647707,-0.3396532250416663,-0.7110761884943666,0.9846711974448643,34,34,0,0.38235294117647056,-0.023543033261504993,-0.026608794484937692,0.5021593189524979,22.41176470588235,9.431358394839775,-0.24780995307640874,-0.037308999784256835,regional_regional,France,coverage_025,0.25,0.81640625,0.44357976653696496,0.004,0.6920189950980393,0.12330784885796972,0.07369915541968984,4352.0,0.45197610294117646,0.24981135556006648,-0.007625389477709854,0.2777002563631662,0.7013023711489245,0.5082291776577683,0.45676003200892246,0.08744076359821128,-0.010444291534504572,0.00035255283781145477,-0.006460957906793004,-0.00439953062237442,-0.0020614272844185844,0.40188419117647056,0.1171875,0.11762731789057523,0.09153179820334467,0.8334327679550232
regional_regional__coverage_025,-0.04706129298235695,-0.04687971000026758,0.1942075632885747,0.26397925781110054,-0.3344727005531358,-0.14016004870573903,0.9286082920506166,61,61,0,0.5737704918032787,-0.0016965308720166376,0.006743099967707389,0.8851722695574401,11.80327868852459,20.314015425858877,-0.05067938051515023,-0.04404860734365357,regional_regional,UK,coverage_025,0.25,0.36677479147358666,0.5849056603773585,0.005,0.6615693543404387,0.1359411476849083,0.057530930528488754,4316.0,0.4453197405004634,0.26166508817620454,-0.059184199539426885,0.2778606948484022,0.7226228181444667,0.5362792386794248,0.4682650798110828,0.11224439518613284,0.11562198853238828,0.2557635117130011,0.007644352479942057,-0.03674252909245989,0.04438688157240195,0.4221501390176089,0.13415199258572752,0.11765558349320922,0.09295951391856513,0.6996173554207004
global_global__coverage_100,0.07924217412354762,0.07957012051892587,0.46464435949241883,0.5223202262705251,-0.20654316508914794,0.3852469312387166,0.9740384401821425,77,77,0,0.5974025974025974,0.004099879121984925,0.008962383806201402,1.140913299698143,9.675324675324676,27.368704327779458,0.0813542575472992,0.3180133915467731,global_global,US,coverage_100,1.0,1.0,-inf,0.002,0.41321281599059373,0.18665660551914687,0.006549140930885103,4536.0,0.48037918871252205,0.25757027451543646,-0.03186786535804953,0.25850096514643356,0.7094802532786435,0.5180549554771576,0.4908985099646934,0.09586368921022077,0.05043883162110842,-0.15078767427547535,0.011758214685372166,-0.01591138273205473,0.027669597417426896,0.556657848324515,0.18981481481481483,0.11224601172058687,0.09529051161602824,0.6621660735219941
global_global__coverage_100,0.029509688691955915,0.03036549788011489,0.27985442176121356,0.4142340930009838,-0.1229812210391511,0.24691166361446376,0.9534885541015233,80,80,0,0.55,0.0013847289292751835,0.003699937148917809,1.0728880708492292,8.875,27.750973421626565,0.030949179793524666,0.17042431711565031,global_global,India,coverage_100,1.0,1.0,-inf,0.004,0.31579343571213486,0.16339006521236552,0.0071037488520735385,4428.0,0.46296296296296297,0.25734887703468406,-0.03507449981672761,0.2733435607115398,0.721205633673646,0.4725477445691194,0.45534406489653356,0.17053699662684732,-0.07664726782178696,0.01782166037307493,0.008977169362104558,0.011741895628828792,-0.0027647262667242333,0.5200993676603433,0.19896115627822944,0.09004190525189934,0.07148571607923754,0.6840432476614601
global_global__coverage_100,0.859061412586809,0.9124282568552036,2.227296662781307,5.429850092150515,-0.1111240697673962,8.210896692004615,0.966559529164818,51,51,0,0.5294117647058824,0.04320717235680724,0.007241133173389702,3.7581743802735468,14.0,21.78488854190315,0.8887827253941661,0.17879546020138726,global_global,China,coverage_100,1.0,1.0,-inf,0.004,0.4224823997551271,0.1825261836450578,0.006768085307899865,4356.0,0.4671717171717172,0.2490981084812253,-0.0006681743178948985,0.2877560343751439,0.6913470354959355,0.4975872468763464,0.4659736784397571,0.005973151427654366,0.008456372531567934,0.10009566641650758,0.03348828958892199,0.03298074473481644,0.0005075448541055488,0.5599173553719008,0.13544536271809,0.14319454869264783,0.08742240774221606,1.2242161258908089
global_global__coverage_100,-0.06962107770985837,-0.07015803664808096,-0.2452101880462883,-0.3964376141737223,-0.14137131406672176,-0.4962678398459895,0.9781528234412883,49,49,0,0.42857142857142855,-0.003529619086429264,-0.008684301702357233,0.8565012785599497,15.244897959183673,16.01415297611862,-0.0711760739645171,-0.14046837511912347,global_global,Brazil,coverage_100,1.0,1.0,-inf,0.003,0.6461266046923417,0.17908392846159446,0.008685821226555328,3765.0,0.4547144754316069,0.2449076329038626,0.01243209680279389,0.2785612023428774,0.7150157808463672,0.5205588698553747,0.4651448505977261,0.011114672040970108,0.2044099337202257,0.3142796311888713,0.010158953994795099,0.00519020944071611,0.004968744554078989,0.4818061088977424,0.14103585657370518,0.1334534593609468,0.18334627549540816,0.8512395874245862
global_global__coverage_100,-0.28668670034497346,-0.2838459779569713,-1.5686127755103405,-2.441762897755717,-0.30253452686446025,-0.9382267237356955,0.9840376813529266,59,59,0,0.3898305084745763,-0.01571546810238858,-0.013453668619389347,0.4877702495351773,12.915254237288135,16.25007138880224,-0.291337116227923,-0.037308999784256835,global_global,France,coverage_100,1.0,1.0,-inf,0.004,0.5706954656862745,0.16568811938323505,0.011411788228094936,4352.0,0.45197610294117646,0.25678009261172136,-0.035734105232839486,0.26973632320226465,0.731272335751796,0.4768764275109537,0.42940911400528947,0.1155600392373743,-0.0067482892376177685,0.25443851515429045,-0.010766736339171596,-0.0215307638302546,0.010764027491083003,0.4625459558823529,0.16681985294117646,0.11607202089013588,0.09731226264572335,1.0579038977776833
global_global__coverage_100,-0.12885396750716727,-0.12837885455318854,-0.666357558550542,-1.0640051028523205,-0.1469655966033565,-0.8735299792622114,0.9846414357700868,67,67,0,0.4626865671641791,-0.005424398309235441,-0.004987580886854581,0.7308243430927335,11.253731343283581,21.011535202429346,-0.13086384832707224,-0.04404860734365357,global_global,UK,coverage_100,1.0,1.0,-inf,0.005,0.3730305838739574,0.17972002988169436,0.010509779106820816,4316.0,0.4453197405004634,0.24463808912031657,0.009738745020241524,0.2779498647003174,0.6850058124671946,0.5622132855551991,0.4799672940301194,0.26220081529975325,0.14278819493349681,0.07254887473525799,0.0024801891245787053,-0.033706526056978145,0.03618671518155685,0.566728452270621,0.198563484708063,0.09828650873610575,0.08365685568793456,0.690255798328677
