security,session,classification,original_open,original_high,original_low,original_close,corrected_high,corrected_low,violations,max_abs_violation,max_rel_violation,reason
China_600887.SS,2019-01-07,MATERIAL_DISCREPANCY,16.912996501913952,17.479057704756208,17.165429220195257,17.417861938476562,17.479057704756208,17.165429220195257,low > open,0.2524327182813053,0.014492749981194541,Material discrepancy exceeding 4 ULPs; rejected
China_601012.SS,2019-01-07,MATERIAL_DISCREPANCY,6.897181026871788,7.307071112679453,7.090302439908918,7.2637176513671875,7.307071112679453,7.090302439908918,low > open,0.19312141303712949,0.02658713104036745,Material discrepancy exceeding 4 ULPs; rejected
China_601318.SS,2019-01-07,MATERIAL_DISCREPANCY,40.04927206616152,41.2953791277244,40.49845186406214,40.78824234008789,41.2953791277244,40.49845186406214,low > open,0.44917979790061935,0.011012482326534383,Material discrepancy exceeding 4 ULPs; rejected
China_601888.SS,2019-01-07,MATERIAL_DISCREPANCY,51.68181674178028,54.014646932660604,52.45635259441256,53.572052001953125,54.014646932660604,52.45635259441256,low > open,0.7745358526322761,0.014457834331304653,Material discrepancy exceeding 4 ULPs; rejected
China_601888.SS,2020-05-29,MATERIAL_DISCREPANCY,87.7581713523302,93.9391121061027,87.00643799385594,93.94839477539062,93.9391121061027,87.00643799385594,high < close,0.009282669287927092,9.880604463886643e-05,Material discrepancy exceeding 4 ULPs; rejected
UK_AUTO.L,2017-06-21,MATERIAL_DISCREPANCY,393.91768135322155,392.61928331793115,383.8300265674192,388.1247863769531,392.61928331793115,383.8300265674192,high < open,1.298398035290404,0.0033453107888589697,Material discrepancy exceeding 4 ULPs; rejected
UK_AUTO.L,2017-06-30,MATERIAL_DISCREPANCY,374.5413328471937,383.43044105071675,374.81099163395305,379.53521728515625,383.43044105071675,374.81099163395305,low > open,0.26965878675935073,0.0007104974043996237,Material discrepancy exceeding 4 ULPs; rejected
UK_AZN.L,2024-05-01,MATERIAL_DISCREPANCY,12188.601679815889,12150.618502529273,12150.618502529273,12164.6123046875,12150.618502529273,12150.618502529273,high < open; high < close,37.98317728661641,0.0031224322103533056,Material discrepancy exceeding 4 ULPs; rejected
UK_BA.L,2017-06-29,MATERIAL_DISCREPANCY,642.5821046266474,641.0865683086645,629.7852769585035,633.60888671875,641.0865683086645,629.7852769585035,high < open,1.4955363179828964,0.0023603461841070167,Material discrepancy exceeding 4 ULPs; rejected
UK_BA.L,2024-05-01,MATERIAL_DISCREPANCY,1333.4771536925448,1333.976957723164,1333.976957723164,1337.4755859375,1333.976957723164,1333.976957723164,high < close; low > open,3.498628214335895,0.002615844544095764,Material discrepancy exceeding 4 ULPs; rejected
UK_CRDA.L,2017-06-30,MATERIAL_DISCREPANCY,3945.0513492437844,4016.5938997108537,3956.293736112669,3970.602294921875,4016.5938997108537,3956.293736112669,low > open,11.24238686888475,0.0028314059263157593,Material discrepancy exceeding 4 ULPs; rejected
UK_DGE.L,2024-05-01,MATERIAL_DISCREPANCY,2768.9567683704136,2741.4770458405737,2738.978889246952,2740.477783203125,2741.4770458405737,2738.978889246952,high < open,27.47972252983982,0.010027347310847735,Material discrepancy exceeding 4 ULPs; rejected
UK_EXPN.L,2017-06-19,MATERIAL_DISCREPANCY,1620.5610020068807,1636.5369576643732,1621.2869601970053,1632.54296875,1636.5369576643732,1621.2869601970053,low > open,0.7259581901246293,0.00044467937691127266,Material discrepancy exceeding 4 ULPs; rejected
UK_EXPN.L,2017-06-23,MATERIAL_DISCREPANCY,1604.8009668059228,1622.7763354446947,1609.5144786588603,1616.7845458984375,1622.7763354446947,1609.5144786588603,low > open,4.713511852937472,0.002915361768452705,Material discrepancy exceeding 4 ULPs; rejected
UK_EXPN.L,2024-10-24,MATERIAL_DISCREPANCY,3841.789573337721,3852.786108676444,3824.7949278142387,3862.782958984375,3852.786108676444,3824.7949278142387,high < close,9.9968503079308,0.0025879917184265587,Material discrepancy exceeding 4 ULPs; rejected
UK_HLMA.L,2015-07-01,MATERIAL_DISCREPANCY,766.6481613267398,774.1398371703236,764.6503811017841,774.6392822265625,774.1398371703236,764.6503811017841,high < close,0.49944505623886926,0.0006447453255963259,Material discrepancy exceeding 4 ULPs; rejected
UK_HLMA.L,2017-06-22,MATERIAL_DISCREPANCY,1149.0519959249614,1148.4923990162802,1128.069307303723,1133.065185546875,1148.4923990162802,1128.069307303723,high < open,0.5595969086812147,0.0004938788304673969,Material discrepancy exceeding 4 ULPs; rejected
UK_HLMA.L,2017-06-23,MATERIAL_DISCREPANCY,1138.061216807218,1134.0645136753226,1124.0727558455842,1132.066162109375,1134.0645136753226,1124.0727558455842,high < open,3.9967031318954014,0.003530450132391872,Material discrepancy exceeding 4 ULPs; rejected
