security,session,classification,original_open,original_high,original_low,original_close,corrected_high,corrected_low,violations,max_abs_violation,max_rel_violation,reason
Brazil_B3SA3.SA,2014-02-19,ROUNDOFF_ONLY,1.9234587463529154,1.9879204034805296,1.902664764162023,1.9879204034805298,1.9879204034805298,1.902664764162023,high < close,2.220446049250313e-16,1.116969293822161e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_KLBN11.SA,2015-10-22,ROUNDOFF_ONLY,12.193685996778811,12.389366149902342,12.037141400383495,12.389366149902344,12.389366149902344,12.037141400383495,high < close,1.7763568394002505e-15,1.4337753989248693e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_KLBN11.SA,2016-04-04,ROUNDOFF_ONLY,10.594091415405275,10.594091415405275,10.594091415405275,10.594091415405273,10.594091415405275,10.594091415405273,low > close,1.7763568394002505e-15,1.6767429784655077e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_KLBN11.SA,2018-08-29,ROUNDOFF_ONLY,13.458191344056418,13.458191344056418,13.214051246643068,13.214051246643066,13.458191344056418,13.214051246643066,low > close,1.7763568394002505e-15,1.3442938931022543e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_LREN3.SA,2013-02-01,ROUNDOFF_ONLY,7.726285922145455,7.734003245707847,7.5690393447875985,7.569039344787598,7.734003245707847,7.569039344787598,low > close,8.881784197001252e-16,1.173436124772911e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_LREN3.SA,2014-10-10,ROUNDOFF_ONLY,7.222495079040528,7.222495079040528,7.222495079040528,7.222495079040527,7.222495079040528,7.222495079040527,low > close,8.881784197001252e-16,1.229739044444064e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_LREN3.SA,2014-12-04,ROUNDOFF_ONLY,7.683759860492595,7.687752651116649,7.488070964813233,7.488070964813232,7.687752651116649,7.488070964813232,low > close,8.881784197001252e-16,1.1861244690037179e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_LREN3.SA,2017-05-29,ROUNDOFF_ONLY,15.651810646057127,15.651810646057127,15.651810646057127,15.651810646057129,15.651810646057129,15.651810646057127,high < close,1.7763568394002505e-15,1.1349209874627094e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_LREN3.SA,2019-06-19,ROUNDOFF_ONLY,30.504753138497847,31.229192733764645,29.897792778451862,31.22919273376465,31.22919273376465,29.897792778451862,high < close,3.552713678800501e-15,1.137625845499153e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2014-10-14,ROUNDOFF_ONLY,5.411038875579835,5.411038875579835,5.411038875579835,5.411038875579834,5.411038875579835,5.411038875579834,low > close,8.881784197001252e-16,1.6414194023046087e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2014-10-31,ROUNDOFF_ONLY,3.6524502561018375,3.8278079032897945,3.5998429380548607,3.827807903289795,3.827807903289795,3.5998429380548607,high < close,4.440892098500626e-16,1.160165873183949e-16,Bounded roundoff within 4 ULPs; normalized minimally
