market,seed,system,system_name,claim,total_return,annualized_return,sharpe,sortino,max_drawdown,win_rate,trade_count,final_equity
France,37,P4,Momentum-21 ranking,Momentum Baseline,-0.1908,-0.1895,-1.034,-1.397,-0.2006,0.4444,36,80918.55
France,37,P5,Random ranking,Random Baseline,0.0347,0.0344,0.275,0.357,-0.1848,0.6111,36,103470.33
France,37,P6,Equal-weight buy-and-hold context,Equal Weight Context,-0.0584,-0.058,-0.349,-0.537,-0.1308,0.4118,17,94156.29
UK,7,P0,Full learned-state distributional memory,Reference,0.2587,0.2576,1.149,2.001,-0.0814,0.5556,36,125871.54
UK,7,P1,No external memory,H2 (No Memory),0.2207,0.2197,0.964,1.517,-0.1041,0.5833,36,122066.1
UK,7,P2,Same-neighbour mean-only memory,H3 (Mean-Only),0.2587,0.2576,1.149,2.001,-0.0814,0.5556,36,125871.54
UK,7,P3,Raw-feature kNN memory,H1/H2 Control,0.1914,0.1906,0.862,1.377,-0.1041,0.5833,36,119141.26
UK,7,P4,Momentum-21 ranking,Momentum Baseline,-0.2207,-0.22,-1.315,-1.994,-0.2502,0.5278,36,77925.13
UK,7,P5,Random ranking,Random Baseline,-0.0973,-0.0969,-0.482,-0.859,-0.1403,0.4444,36,90270.59
UK,7,P6,Equal-weight buy-and-hold context,Equal Weight Context,-0.0597,-0.0595,-0.58,-0.969,-0.0564,0.5714,14,94030.45
UK,17,P0,Full learned-state distributional memory,Reference,-0.0073,-0.0072,0.089,0.127,-0.1826,0.4444,36,99273.46
UK,17,P1,No external memory,H2 (No Memory),-0.212,-0.2112,-0.866,-1.281,-0.2112,0.4167,36,78803.21
UK,17,P2,Same-neighbour mean-only memory,H3 (Mean-Only),-0.0618,-0.0616,-0.156,-0.221,-0.156,0.4167,36,93819.66
UK,17,P3,Raw-feature kNN memory,H1/H2 Control,-0.1374,-0.1369,-0.509,-0.725,-0.1756,0.4444,36,86261.97
UK,17,P4,Momentum-21 ranking,Momentum Baseline,-0.2207,-0.22,-1.315,-1.994,-0.2502,0.5278,36,77925.13
UK,17,P5,Random ranking,Random Baseline,-0.061,-0.0608,-0.24,-0.297,-0.1779,0.5556,36,93901.49
UK,17,P6,Equal-weight buy-and-hold context,Equal Weight Context,-0.0597,-0.0595,-0.58,-0.969,-0.0564,0.5714,14,94030.45
UK,37,P0,Full learned-state distributional memory,Reference,-0.0637,-0.0634,-0.207,-0.329,-0.2013,0.4444,36,93633.18
UK,37,P1,No external memory,H2 (No Memory),-0.1216,-0.1212,-0.483,-0.701,-0.1775,0.3889,36,87835.81
UK,37,P2,Same-neighbour mean-only memory,H3 (Mean-Only),0.0023,0.0023,0.112,0.187,-0.1585,0.4722,36,100232.35
UK,37,P3,Raw-feature kNN memory,H1/H2 Control,-0.1019,-0.1016,-0.349,-0.48,-0.15,0.4167,36,89805.83
UK,37,P4,Momentum-21 ranking,Momentum Baseline,-0.2207,-0.22,-1.315,-1.994,-0.2502,0.5278,36,77925.13
UK,37,P5,Random ranking,Random Baseline,-0.2229,-0.2221,-1.118,-1.502,-0.237,0.3889,36,77711.27
UK,37,P6,Equal-weight buy-and-hold context,Equal Weight Context,-0.0597,-0.0595,-0.58,-0.969,-0.0564,0.5714,14,94030.45
