system,market,seed,condition,replication_id,rank_spearman_rho,rank_kendall_tau,top1_hit_agreement,top3_set_overlap
P0,US,7,Matched Random Precedent Replacement,45,0.3333333333333333,0.29629629629629634,0.4444444444444444,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,46,0.6111111111111112,0.5555555555555556,0.7777777777777778,1.0
P0,US,7,Matched Random Precedent Replacement,46,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,47,0.6666666666666666,0.6296296296296297,0.7777777777777778,1.0
P0,US,7,Matched Random Precedent Replacement,47,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,48,0.4444444444444444,0.48148148148148145,0.6666666666666666,1.0
P0,US,7,Matched Random Precedent Replacement,48,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,49,0.6111111111111112,0.5555555555555556,0.7777777777777778,1.0
P0,US,7,Matched Random Precedent Replacement,49,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444
P0,US,7,Same-Date Cross-Candidate Bundle Swap,50,0.3888888888888889,0.40740740740740744,0.6666666666666666,1.0
P0,US,7,Matched Random Precedent Replacement,50,0.1111111111111111,0.14814814814814814,0.2222222222222222,0.4444444444444444
P0,US,17,Same-Date Cross-Candidate Bundle Swap,1,0.5,0.5333333333333333,0.7,1.0
P0,US,17,Matched Random Precedent Replacement,1,0.35,0.36666666666666664,0.4,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,2,0.5,0.5333333333333333,0.7,1.0
P0,US,17,Matched Random Precedent Replacement,2,0.25,0.23333333333333334,0.4,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,3,0.5,0.5333333333333333,0.7,1.0
P0,US,17,Matched Random Precedent Replacement,3,0.049999999999999975,0.03333333333333335,0.3,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,4,0.5,0.5333333333333333,0.7,1.0
P0,US,17,Matched Random Precedent Replacement,4,0.25,0.23333333333333334,0.3,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,5,0.5,0.5333333333333333,0.7,1.0
P0,US,17,Matched Random Precedent Replacement,5,0.29999999999999993,0.3,0.4,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,6,0.45,0.4666666666666666,0.7,1.0
P0,US,17,Matched Random Precedent Replacement,6,0.15,0.16666666666666666,0.3,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,7,0.5,0.5333333333333333,0.7,1.0
P0,US,17,Matched Random Precedent Replacement,7,0.29999999999999993,0.3,0.3,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,8,0.6,0.6,0.8,1.0
P0,US,17,Matched Random Precedent Replacement,8,-0.09999999999999999,-0.1,0.2,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,9,0.55,0.5333333333333334,0.8,1.0
P0,US,17,Matched Random Precedent Replacement,9,0.3,0.3,0.4,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,10,0.45,0.4666666666666666,0.7,1.0
P0,US,17,Matched Random Precedent Replacement,10,0.15,0.16666666666666666,0.3,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,11,0.5,0.5333333333333333,0.7,1.0
P0,US,17,Matched Random Precedent Replacement,11,0.09999999999999999,0.1,0.3,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,12,0.5,0.5333333333333333,0.7,1.0
P0,US,17,Matched Random Precedent Replacement,12,0.1,0.1,0.3,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,13,0.6,0.6,0.8,1.0
P0,US,17,Matched Random Precedent Replacement,13,0.4,0.3666666666666667,0.5,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,14,0.6,0.6,0.8,1.0
P0,US,17,Matched Random Precedent Replacement,14,0.14999999999999997,0.16666666666666666,0.3,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,15,0.5,0.5333333333333333,0.7,1.0
P0,US,17,Matched Random Precedent Replacement,15,0.3,0.3,0.4,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,16,0.45,0.4666666666666666,0.7,1.0
P0,US,17,Matched Random Precedent Replacement,16,0.09999999999999999,0.1,0.2,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,17,0.6,0.6,0.8,1.0
P0,US,17,Matched Random Precedent Replacement,17,0.15,0.16666666666666666,0.3,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,18,0.45,0.4666666666666666,0.7,1.0
P0,US,17,Matched Random Precedent Replacement,18,0.09999999999999999,0.1,0.2,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,19,0.55,0.5333333333333334,0.8,1.0
P0,US,17,Matched Random Precedent Replacement,19,-0.04999999999999999,-0.03333333333333334,0.2,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,20,0.45,0.4666666666666666,0.7,1.0
P0,US,17,Matched Random Precedent Replacement,20,-0.04999999999999999,-0.03333333333333334,0.2,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,21,0.5,0.5333333333333333,0.7,1.0
P0,US,17,Matched Random Precedent Replacement,21,0.14999999999999997,0.16666666666666666,0.3,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,22,0.45,0.4666666666666666,0.7,1.0
P0,US,17,Matched Random Precedent Replacement,22,0.3,0.3,0.4,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,23,0.55,0.5333333333333334,0.8,1.0
P0,US,17,Matched Random Precedent Replacement,23,0.5,0.5,0.5,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,24,0.45,0.4666666666666666,0.7,1.0
P0,US,17,Matched Random Precedent Replacement,24,0.09999999999999999,0.1,0.3,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,25,0.55,0.5333333333333334,0.8,1.0
P0,US,17,Matched Random Precedent Replacement,25,0.09999999999999999,0.1,0.3,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,26,0.5,0.5333333333333333,0.7,1.0
P0,US,17,Matched Random Precedent Replacement,26,0.15,0.16666666666666666,0.3,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,27,0.6,0.6,0.8,1.0
P0,US,17,Matched Random Precedent Replacement,27,0.25,0.23333333333333334,0.4,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,28,0.55,0.5333333333333334,0.8,1.0
P0,US,17,Matched Random Precedent Replacement,28,0.45,0.4333333333333334,0.5,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,29,0.5,0.5333333333333333,0.7,1.0
P0,US,17,Matched Random Precedent Replacement,29,2.2204460492503132e-17,-0.033333333333333326,0.2,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,30,0.45,0.4666666666666666,0.7,1.0
P0,US,17,Matched Random Precedent Replacement,30,0.049999999999999975,0.03333333333333335,0.3,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,31,0.6,0.6,0.8,1.0
P0,US,17,Matched Random Precedent Replacement,31,0.2,0.16666666666666669,0.3,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,32,0.45,0.4666666666666666,0.7,1.0
P0,US,17,Matched Random Precedent Replacement,32,0.4,0.3666666666666667,0.4,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,33,0.55,0.5333333333333334,0.8,1.0
P0,US,17,Matched Random Precedent Replacement,33,-0.09999999999999999,-0.1,0.1,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,34,0.5,0.5333333333333333,0.7,1.0
P0,US,17,Matched Random Precedent Replacement,34,0.24999999999999994,0.23333333333333334,0.4,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,35,0.6,0.6,0.8,1.0
P0,US,17,Matched Random Precedent Replacement,35,0.15,0.16666666666666666,0.3,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,36,0.5,0.5333333333333333,0.7,1.0
P0,US,17,Matched Random Precedent Replacement,36,0.3,0.3,0.4,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,37,0.6,0.6,0.8,1.0
P0,US,17,Matched Random Precedent Replacement,37,-0.15,-0.16666666666666666,0.1,0.5
P0,US,17,Same-Date Cross-Candidate Bundle Swap,38,0.5,0.5333333333333333,0.7,1.0
