draw_id,delta_sharpe_L5,sharpe_P0*_L5,sharpe_P1_L5,delta_sharpe_L10,sharpe_P0*_L10,sharpe_P1_L10,delta_sharpe_L21,sharpe_P0*_L21,sharpe_P1_L21,delta_sharpe_L63,sharpe_P0*_L63,sharpe_P1_L63
40,0.020052842092025652,-0.015125067771670102,-0.035177909863695754,0.035699331591969245,0.026830483476345562,-0.008868848115623681,-0.016813278113677277,0.41051394268608016,0.42732722079975743,-0.0033219172791263407,0.37641361907504584,0.3797355363541722
41,-0.027920455193261536,-0.017533832389095755,0.010386622804165782,-0.02275506152814616,0.3160795505698019,0.3388346120979481,-0.0814272006477608,0.19234717495695083,0.27377437560471163,-0.09762284822854994,0.570179439107013,0.6678022873355629
42,0.11230744678868902,0.2157804042446082,0.10347295745591918,0.2347194766043525,-0.36920399438365187,-0.6039234709880044,-0.04944028011370766,0.14448153734356434,0.193921817457272,-0.12644107823165496,0.38403159267020504,0.51047267090186
43,0.0817334396540387,0.21940510058950122,0.13767166093546251,-0.04445927942858219,0.41591378976752486,0.46037306919610704,-0.04270822702037266,0.22740173980604603,0.2701099668264187,-0.0034235038385388994,0.3260714736072349,0.3294949774457738
44,0.06900041151528846,0.65963695485716,0.5906365433418715,-0.04628787864259187,0.20159787696275666,0.24788575560534853,0.02988530878358997,0.19098667383550463,0.16110136505191466,-0.04058062602031304,0.2554733839347539,0.2960540099550669
45,0.0017835860458509378,0.27468760937984454,0.2729040233339936,0.05349380766365708,0.5926582862993675,0.5391644786357104,0.08812671436185138,0.3538308864753132,0.2657041721134618,0.006400945875598196,0.4244948406689208,0.4180938947933226
46,0.006503789880813844,0.007212946620329814,0.0007091567395159702,-0.08455373442100467,-0.2737533618219757,-0.18919962740097102,0.0682909231671508,0.3995327193433785,0.3312417961762277,-0.09910782592151834,0.2200055059295037,0.31911333185102203
47,-0.03083789459939871,0.04364311601598383,0.07448101061538254,0.05591498066717672,0.12254876245509258,0.06663378178791586,0.15489938976817902,0.6148768053663083,0.45997741559812927,-0.09931221204599733,0.28240317648937885,0.3817153885353762
48,0.15139204411558735,0.329027523222649,0.17763547910706165,0.1217493362892017,0.5527515886063445,0.43100225231714284,0.07687859822521381,0.31333175448838063,0.23645315626316682,0.037159318900597094,0.6661707427741286,0.6290114238735315
49,-0.149760377459322,-0.24732735135711534,-0.09756697389779334,0.06335305456079793,0.32128783900850183,0.2579347844477039,-0.12497922169171949,0.22454700032834668,0.34952622202006617,0.009442582145559986,0.29163725195391677,0.2821946698083568
50,-0.021461731279321272,-0.04913792636257575,-0.02767619508325448,-0.04282626571733472,0.5131293902272098,0.5559556559445445,0.09233495913436279,0.3519111595657793,0.2595762004314165,-0.04151322469531957,0.18703418383370596,0.22854740852902553
51,0.006334517017983987,0.40810786452988,0.40177334751189603,-0.017226443654680845,0.5169218311511115,0.5341482748057923,-0.08568363611423703,0.04056790546176321,0.12625154157600024,-0.06319522170471895,0.13735561039970337,0.20055083210442232
52,0.06354788934077565,-0.28753924048658824,-0.3510871298273639,-0.0842527465210281,0.5134203558590995,0.5976731023801276,0.1431622005704584,0.29690113381416755,0.15373893324370916,0.02058646151021115,0.5454859923546778,0.5248995308444666
53,-0.0558301221215578,0.6094750118917192,0.665305134013277,-0.041480887196808536,0.509430477847281,0.5509113650440896,-0.08842363266315534,0.6961910207724298,0.7846146534355851,-0.0755735942157002,0.402119310453943,0.4776929046696432
54,-0.04781900753293461,0.15219071425718808,0.2000097217901227,0.059939384049686906,0.19619457518537842,0.1362551911356915,0.014087321351902493,0.6974559320068179,0.6833686106549154,-0.04015709187418816,0.07419792270075813,0.11435501457494629
55,-0.10859525480833382,0.4426544134035149,0.5512496682118487,0.05141210881296093,0.28765208870188697,0.23623997988892603,-0.023771279481105856,0.18660109151337914,0.210372370994485,0.07031671608234649,0.24702912646205485,0.17671241037970836
56,0.03864332391671271,-0.2684320579656077,-0.3070753818823204,-0.1473979245148127,0.2872830015780016,0.4346809260928143,-0.0209821785962509,0.41166388156097217,0.43264606015722307,-0.07652004421728281,0.2544345244372973,0.3309545686545801
57,-0.09463063667356775,0.7047668513459049,0.7993974880194726,-0.0856535157052648,0.05618282207393826,0.14183633777920307,0.005740630125530777,0.3920993400770507,0.38635870995151994,-0.12177620832024844,0.3241512324548605,0.44592744077510893
58,0.03634280641014942,0.39757463752775457,0.36123183111760515,0.1448014838494709,0.11389780928073132,-0.03090367456873959,-0.026711727284157605,0.585369163659092,0.6120808909432496,-0.06001970198926765,0.33745348024143107,0.3974731822306987
59,-0.23164878576444964,0.08247439479620712,0.31412318056065675,-0.052423017472087635,0.20966042157767248,0.2620834390497601,0.15438218849793134,0.6441364065689328,0.48975421807100145,-0.08710623952651059,0.1661164841431143,0.2532227236696249
60,0.00375046448130216,0.07621911888220147,0.07246865440089931,-0.0867096072126845,0.466173943411866,0.5528835506245505,0.03299191229891901,0.45471142865657616,0.42171951635765714,-0.0597284663312507,0.0762870679141148,0.1360155342453655
61,-0.033190458033083514,0.15452613214703112,0.18771659018011463,-0.055711465075186595,0.2644577851545667,0.3201692502297533,0.07016079078477588,0.44497989622720213,0.37481910544242625,-0.0869698971007527,0.3355519030359102,0.4225218001366629
62,0.023432975566556213,0.30540230062452617,0.28196932505796996,-0.13139005951716515,0.3380403907082519,0.4694304502254171,-0.0795222092649151,0.3142395301280101,0.3937617393929252,-0.026950207655524805,0.31770100623486597,0.3446512138903908
63,0.07064149733701341,0.22246157077225748,0.15182007343524406,0.09814026528823522,0.4427453676245461,0.34460510233631086,-0.025434994763343766,0.3833708651582656,0.40880585992160934,-0.049993566390541005,0.23432195560555605,0.28431552199609705
64,0.018304085883197187,0.06846110885624535,0.05015702297304816,0.010947021938360446,0.39847691584953937,0.3875298939111789,0.026573176812646815,0.6047276951017898,0.578154518289143,0.05283540409123158,0.24368073079916167,0.19084532670793009
65,0.02809649103812717,0.6100832652220187,0.5819867741838916,0.022270848333467125,0.09797718828796059,0.07570633995449347,0.029381463654152173,0.5664780883461957,0.5370966246920436,-0.10291812634706798,0.4329231697675239,0.5358412961145919
66,-0.012295017427438104,0.8473397700930935,0.8596347875205316,0.07464171882070211,0.1737924557654889,0.0991507369447868,0.04369759686653002,0.305220891708114,0.261523294841584,-0.013463174692126878,0.20242093102990577,0.21588410572203265
67,-0.004564728976457377,0.48207251068772017,0.48663723966417755,-0.09391160262174097,0.08886864606092748,0.18278024868266846,-0.052293835141018874,0.45922881328403936,0.5115226484250582,-0.08068094334089393,0.15288305646708533,0.23356399980797926
68,0.0709094503390704,0.3173791234045541,0.2464696730654837,-0.019971384795845454,0.2139188718015221,0.23389025659736756,-0.0173945814334191,0.27259849250191154,0.28999307393533064,-0.03303039942788649,0.2049792116137895,0.238009611041676
69,0.19711098384683848,-0.2420042577460985,-0.43911524159293697,0.09071642230317764,0.18234176725677861,0.09162534495360097,0.03502346857347227,0.4364526971576033,0.40142922858413105,-0.046620563773657864,0.44536718204954523,0.4919877458232031
70,0.09974270464540044,0.1543192526594639,0.05457654801406345,0.04126521984255266,0.460528114238027,0.4192628943954743,-0.08177497492504704,0.3657735928523867,0.44754856777743374,-0.04162769810443945,0.22622902985944954,0.267856727963889
71,0.055346062518728645,0.29497826455791154,0.2396322020391829,-0.0041625827891211276,0.3277567574616871,0.3319193402508082,0.2168248549740144,0.4242043896190683,0.2073795346450539,-0.07280893233382828,-0.0694369585574342,0.003371973776394072
72,-0.06407369197727036,0.16257400755862841,0.22664769953589878,-0.06409792014811516,0.13445776654215869,0.19855568669027385,-0.06336425181952313,0.18506402705421202,0.24842827887373514,-0.13285652323225805,0.08267352606334012,0.2155300492955982
